sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
6ab09379ddc735b635b4e5a5c874ea5c88881915,17904,268,71,10,1,418,17891,277,77,8,0,407,17868,267,62,15,2,431,17639,289,61,9,0,416,11,291,74,17,1,275
d0c6dc6e95b2d3d943980145542b16c683aebf96,17955,240,70,12,0,389,10982,227,60,13,2,309,986,209,18,2,0,225,7578,307,59,9,1,379,13,276,74,60,0,250
c50cdfa5392b470768c87e53880788f4019cd029,18017,256,70,18,0,438,11502,248,61,11,1,323,971,180,18,14,0,218,7586,257,66,8,1,409,7,282,73,40,2,262
7fa683e5694d896b2a44de09383a248817d7c46a,17621,274,74,14,2,412,17604,268,53,11,2,461,18062,253,75,6,0,421,8004,260,70,12,1,376,15,288,71,13,1,276
5d75b62f4e3e1c9a1eeeb60e812b769ada3446bd,18091,272,71,16,1,445,11865,220,76,10,1,343,907,202,18,2,0,212,7045,276,72,10,1,368,14,276,75,11,1,260
df20ccdb51e7ac1619f995b3f3e9ebc34d8ae3b6,17285,240,73,11,3,421,11490,252,55,15,2,338,1479,184,22,4,0,232,48,251,67,7,0,254,12,277,83,8,0,269
71e8fe3d43c598af3bc3aa8334351ea2030da23e,17652,305,66,16,2,410,11666,237,68,9,0,335,2490,196,26,2,0,218,7526,290,59,15,3,382,7,290,71,56,1,269
ab8f669977fa3ad9e8bcf052ac210e9f1d3965a2,18412,279,81,12,1,414,11203,260,68,9,0,352,56,198,0,15,0,189,35,246,57,8,0,234,11,284,73,118,0,269
cc3043a32a52ba576d99736f7cd4078fd4b9ee79,18067,306,72,7,0,449,11703,262,52,13,0,349,56,195,0,11,0,176,45,259,59,28,1,248,16,268,78,58,0,251
96585d914d012485ec7faf2c93c291c62e2731cb,17575,266,68,12,1,399,11105,246,66,9,2,353,881,181,18,3,0,242,56,256,51,21,0,251,12,280,64,88,0,246
1df66ae9c9d6c54f93c1154645540f0aeaa43f58,16618,259,68,7,3,465,11611,295,57,13,0,431,1083,182,18,3,0,215,40,242,55,56,1,222,13,276,68,66,1,249
b364e579b25a05eefde377706c85f81828dd36d2,17895,278,72,11,1,424,11796,273,53,11,2,364,700,188,19,13,0,217,34,261,61,10,0,235,14,277,69,17,1,259
208d48ff2c6e9abdbc686057b4de5d0fe03bb2f7,17496,260,64,10,1,444,11531,250,64,7,1,398,1075,182,18,1,0,231,40,248,52,10,0,230,13,302,53,32,1,274
477d01cf4c1cd0e81b9c9f0f1dc4276ee19d867f,17269,264,72,8,1,397,11926,274,76,11,0,421,873,180,24,3,0,207,39,253,49,37,1,229,17,301,82,31,0,283
b7dc04ca38fdf9c77e74d742502c083897ba3bb4,16583,275,86,11,1,402,11766,256,57,13,1,384,2385,175,22,2,0,215,7877,245,68,10,0,385,17,273,70,55,1,266
1d5ac5618b1dc2399e5eb5310bd068b91dd0c5d8,18587,273,83,10,0,413,18380,289,57,18,0,406,17845,252,82,10,0,429,12373,290,75,10,1,403,11,275,56,60,2,260
e9fb243016e7dd58df0b6495d8eb45ed26b90a16,18864,303,73,11,2,456,12027,277,58,12,0,400,915,207,26,3,0,212,1410,329,80,13,0,331,22,265,61,17,2,251
73d1bec7f16698b7b0bc5b1a742f4a7966b09927,18682,309,65,12,0,433,11679,281,62,11,0,398,921,213,18,2,0,219,1642,301,66,19,0,296,16,300,70,68,0,265
f317f51ec90be7cd7b760b5ac74989fbdf3bc96e,17761,282,66,9,1,431,11855,262,50,9,0,386,903,206,20,1,0,214,1713,330,73,9,0,304,7,305,72,18,0,261
b12aba32b6f097db9103615c8e3db4dfaa8445bf,18269,300,70,12,0,461,11659,283,62,11,1,412,894,186,18,3,0,233,55,266,65,18,1,264,10,278,64,38,0,266
8fc0ada03bd30322a70e570ec4482ea217af562b,18598,293,67,10,0,427,12357,282,53,14,0,376,2426,196,31,0,0,234,57,280,66,9,0,252,10,283,68,84,1,261
50e9b61fdea2bfea129accbe5d98b49a92f30a2f,16987,251,63,9,1,419,12060,297,62,9,0,355,2507,204,24,2,0,205,57,297,67,16,1,266,7,298,65,39,0,245
2a946e0ceecde8f3cd9fb5437424be6836dd706b,18611,266,74,12,0,411,10817,245,43,13,0,404,868,194,18,2,0,196,50,281,58,30,0,240,12,291,74,16,3,257
d67a49e825e99eefb35859cf4b4cf96c27816a4e,18627,289,68,20,0,422,12058,264,68,10,1,427,880,213,19,2,0,216,48,289,68,14,0,253,9,307,70,41,0,263
23852472af871b6c05bd5abf2022d140b9cecd3b,18245,292,66,7,3,405,11514,268,53,12,1,419,57,190,0,21,0,181,63,327,72,15,0,247,10,287,63,60,0,260
