sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
d96a7f83b18959f33d4f48c03eae32abe2542866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ead1091927f51b3dc03379603209ecb82d346c48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a41260a401b3bf5c4890c85d070df954b9a32c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfe395a6988ab4a0dd31608fa86b264c2f706097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcddba8d1d404318e093b38e625cdc05f254c461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cf846539ea3fbe508031381e4e0c85ff6c5534d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7edcc32089ec134e23c236bde465c846d9b77bf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c4c0eab3a0516828fb451684dd0c936d046e91f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76b7a708a7c19f49546d667c484dd3e18c49527c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81f0d5c00be188befd8172662e514b501204ecad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7d31e4963519d607002b6b07840aeb7d8fec216f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cb71fb4cd77e36056f78386d73756472213a8f7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc9692ff9c66869f1cc5fa21254c12ea9ce312fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa32c0d9df51b07beeafdac6919c3b4b4156cd0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f8f9ea9bb7bcf8d0ddb0e5e1d765003f6374c175,10045,214,36,2,0,145,9967,203,25,1,0,137,10678,220,27,2,0,153,9969,199,31,1,0,157,4,147,19,2,0,33
5bb77de7c111330e35ae346f867b112033faec03,30620,659,92,11,0,342,30731,647,81,20,0,353,30990,675,114,16,0,369,30747,662,107,10,0,339,6,456,26,4,0,58
9f7532bb2ce544f96f98d9f811440f2600845f35,31913,663,106,24,2,372,17844,627,112,14,0,263,284,501,21,3,0,69,8198,623,95,20,0,222,6,495,26,2,0,63
9e49253a9385e33a85aa8388b1a3cacdf180d41d,30973,695,108,18,1,352,17416,638,110,12,0,282,261,493,18,1,0,64,8392,630,104,25,0,236,6,526,27,3,0,52
b812e746ac202f72cc0eabbb3ee8e4de75aa495d,31439,628,108,17,1,338,17133,566,99,18,0,253,271,521,19,1,0,71,8470,632,113,25,0,240,9,534,31,2,0,53
9aecf82ddd54b3fb410bb3a6abd516f8c5ee5026,32688,630,101,21,1,372,16929,608,99,11,1,243,276,516,27,2,0,74,8088,588,85,21,0,211,6,527,24,3,0,54
f8205e231774d3ec79001e101cb5dba3667b42b5,29428,649,96,14,0,316,17803,591,89,24,0,247,268,514,20,0,0,69,8278,651,103,22,0,238,1,524,31,2,0,56
714beb257c9edd0b7e9993b93e3dcc7a93d678d4,31689,641,99,21,2,371,17525,656,106,15,1,283,257,513,19,2,0,66,8114,641,96,30,0,249,5,543,28,1,0,57
113ad4c56763be60c9a2b08f357e20d5368d3ef7,31203,673,108,20,0,367,17542,628,110,25,0,238,276,484,19,1,0,69,8356,632,107,27,1,257,10,533,36,1,0,60
a0ecd4db30e529b04d251dad1c3406b619eade00,32040,676,100,20,0,352,17411,636,86,19,0,259,207,497,20,2,0,59,8198,632,97,21,0,265,7,503,36,1,1,57
754edcf0fa04a4a68bdd8c0c2bddc94b7ab794ad,29870,694,107,16,1,317,18149,644,100,15,0,248,140,496,22,2,0,67,8199,651,101,30,0,252,9,550,24,2,0,51
