sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashes instr,storeHashes project,storeHashes monitoring,storeHashes lock,storeHashes violation,storeHashes other
6127b0b24b6860a22461623b7a1d800698179093,15088,206,123,17,0,250,16062,173,114,22,0,234,14919,196,112,17,0,269,14279,185,99,21,0,203,12,162,115,21,0,95
74e61c1092562dd27f2c333a6f79d410f3c04497,14103,177,101,23,0,251,8357,190,100,16,0,213,217,122,25,1,0,85,616,175,109,25,0,159,8,147,124,19,0,98
4965aac58763898f6ba65f755c95aa227d22d698,15236,183,122,30,0,248,0,0,0,0,0,0,0,0,0,0,0,0,642,181,108,22,0,157,0,0,0,0,0,0
4a99531d8065b64d9c7773a838d95436b08343cd,14637,175,102,22,0,242,0,0,0,0,0,0,0,0,0,0,0,0,663,154,106,24,0,149,0,0,0,0,0,0
87bbd051b1ccbd0e7e7d2a490dd419babfc2e6f1,14526,170,93,30,0,254,8726,182,95,22,0,215,213,109,16,2,0,106,627,169,126,18,0,157,3,170,96,30,0,98
70e6fd61faa91bb8a61fa552e4e8f5fe10fbd9ad,15123,195,95,32,0,246,8623,167,107,22,0,211,186,118,17,2,0,96,598,143,118,26,0,161,7,155,122,18,0,107
c68e4f15820625e94a1c0903723f3c160b909d71,14189,176,98,26,0,227,8578,167,108,29,0,214,217,107,18,2,0,111,619,161,116,25,0,164,10,150,125,23,0,99
fa24e4adcfd4a22862c790208a17f6369a92eed2,13981,168,106,18,0,246,8182,165,97,24,0,213,199,122,26,1,0,99,646,158,114,28,0,143,8,172,111,23,0,95
95a16fc0c70ee4c04a2e813b871646894def3880,14837,197,95,19,0,256,8420,179,83,18,0,232,247,104,16,3,0,98,628,184,103,19,0,164,11,153,115,21,0,84
23f1fb2af44773c1c83c43904aab112ca3c47c2f,14255,167,101,27,0,261,8579,180,107,19,0,216,227,119,16,2,0,90,612,189,106,28,0,168,9,168,115,21,0,96
635f517ae744dcf15867fd5d1dd62fdf7b5d721d,14479,194,114,24,0,244,7878,163,89,23,0,226,202,108,21,1,0,92,710,158,105,27,0,153,17,195,128,24,0,101
442811b08e0dc21c996a09509880d0007424c2ac,14692,174,111,18,0,248,7925,178,95,19,0,211,214,124,17,3,0,107,695,161,94,23,0,158,8,159,117,28,0,100
198dc5aaeda106b84b20e16108a14a790bfefa56,13819,179,111,24,0,241,8907,170,107,20,0,220,215,131,23,2,0,96,710,162,107,21,0,167,12,173,116,20,0,100
f5600ac52204aae29d1434d98d93484b61b4cdd6,14168,185,100,20,0,239,14716,176,100,18,0,246,14513,162,92,26,0,241,652,153,113,22,0,151,8,163,115,20,0,92
6fc5bb3aab7949d2283cec25f9b25b8c974f10cb,13784,158,99,14,0,237,8638,152,115,14,0,196,233,94,17,2,0,100,699,160,101,21,0,149,8,168,120,25,0,93
9cbd583e3179237059e3289ec52c5f47be527ac7,14767,184,110,21,0,235,14559,200,118,16,0,217,14846,165,103,23,0,241,699,157,106,27,0,149,6,168,122,18,0,136
e370cbd739e66f141f99cc2d8234bbdb0f0b36ec,14150,161,120,25,0,238,8698,173,115,25,0,220,184,110,22,2,0,86,610,179,110,30,0,155,13,152,108,20,0,117
8d6e9919a351c2e66876eb404df6ec6c5b324773,14999,171,97,23,0,272,0,0,0,0,0,0,0,0,0,0,0,0,590,178,88,14,0,165,0,0,0,0,0,0
be0dcfd257ccfec37889225125f20d9b361a7f98,14949,194,96,19,0,261,14308,160,106,11,0,245,0,0,0,0,0,0,689,184,113,25,0,150,12,182,109,30,0,117
3fd7ccc779106cb86368e36665932f9bc01ee691,13578,185,84,14,0,195,0,0,0,0,0,0,0,0,0,0,0,0,625,168,109,23,0,152,0,0,0,0,0,0
f68f29d304f88e541cb1888f7b7ff9e727156823,14759,170,100,23,0,235,8609,171,98,19,0,207,243,103,23,3,0,110,610,174,104,25,0,157,10,159,117,25,0,114
b1f9bbc674a3a3bc5905e691707d39f8f42c4efb,13761,159,90,18,0,245,8091,171,97,17,0,200,222,116,24,3,0,83,626,146,111,27,0,144,13,162,110,21,0,94
7d8a07ad68dd676da8337b8f8acc8d8eb38cd5d9,14022,173,100,20,0,250,8754,183,100,20,0,205,224,110,24,3,0,96,620,167,112,23,0,165,15,159,111,21,0,94
aa944e257e76369715184a37fff81d6e1d5cda42,14510,208,92,26,0,276,8824,160,94,18,0,215,198,117,17,1,0,92,636,160,110,23,0,152,6,163,106,28,0,114
22d201db18f0d0e9f3f97bb10e44ff2f1a527b38,14042,173,97,15,0,233,8610,164,82,23,0,200,200,119,18,2,0,84,742,155,112,29,0,154,5,179,119,27,0,99
