sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCodeThreads instr,cleanByteCodeThreads project,cleanByteCodeThreads monitoring,cleanByteCodeThreads lock,cleanByteCodeThreads violation,cleanByteCodeThreads other
74e6a153fb4d170968795c12370ddfb32fb4f650,15350,176,37,0,0,185,14799,174,38,1,0,174,15975,179,36,3,0,180,15588,189,35,2,0,145,6,166,41,0,0,45
3fa0d88c44e7c09f98748234449680dc8ed79691,15399,167,41,3,0,164,0,0,0,0,0,0,0,0,0,0,0,0,384,160,38,6,0,67,0,0,0,0,0,0
10b45d76e44c8fa92cb3276032227ac35cd13810,15906,163,35,2,0,187,6860,162,29,4,0,112,341,102,18,8,0,61,410,164,35,10,0,75,4,132,30,3,0,38
b53a2ff7aeefa7e8ca983d47944b76139eef3006,15077,185,35,3,0,173,7409,169,29,1,0,135,351,128,16,4,0,60,497,159,36,7,0,73,3,133,29,4,0,39
638bac88cd32714b2d7c98752be88b6635c735c7,14969,156,35,5,0,170,7462,174,35,6,0,128,396,107,18,5,0,54,532,156,29,7,0,84,7,171,42,5,0,40
b8e891600ca0ae163c3ceb951b5f47d5d5d8362a,15008,167,38,2,0,136,6726,146,26,4,0,135,413,108,24,5,0,64,339,156,38,3,0,73,3,149,32,1,0,52
5669ac2b01540a470247ec6816a721f2865f534b,14790,173,36,2,0,174,7119,181,46,4,0,115,428,131,19,5,0,59,680,181,29,5,0,82,6,133,30,2,0,48
6576c4339ffbbd5150cbf5b2cb16c8b9e253fdb5,15718,152,33,2,1,173,6457,160,40,6,0,108,154,120,0,10,0,41,258,174,46,11,0,68,2,155,27,2,0,43
c5e7f50a61c6302bb838fc0a3d377b5901c6b492,15090,165,37,2,0,178,7205,178,37,2,0,136,434,119,19,6,0,57,359,154,29,10,0,73,5,179,35,4,0,46
d169b917d684e1a3b3f5407c6a595ff33471aaf0,15041,170,33,1,0,176,7362,173,34,2,0,136,434,135,18,1,0,61,272,178,30,6,0,78,8,136,45,4,0,49
cef0b8ca14cb645ce77ef90ad1595eadecb76414,15969,180,47,3,0,189,7090,161,36,4,0,119,386,128,16,3,0,54,332,166,36,8,0,68,4,137,37,6,0,45
15a880c9079120b4abb7befabc088c0acaa88098,15685,184,38,4,0,180,6919,165,35,4,0,116,440,118,19,20,0,55,489,169,33,13,1,74,6,144,30,6,0,39
8f31e0d980049ac741814784a83a6eaed3e9bb42,14651,161,43,2,0,160,7031,157,31,2,0,129,388,113,17,4,0,58,367,169,31,7,0,71,5,132,39,2,1,47
809c8921e2c8488ec713ef162fbfbd97224fb236,15346,195,32,3,0,192,6074,182,30,5,0,119,133,126,17,6,0,40,405,171,39,3,0,74,5,137,32,2,0,42
d8abc4a2066762fec22ca8bc12dd16476dc8dec2,14665,194,38,5,0,162,7490,169,33,8,0,123,384,116,17,3,0,53,384,173,38,10,1,69,7,153,35,5,0,45
7af90453824b38fc7985219da54f0332847bca4e,14879,156,43,3,0,148,7263,152,22,7,0,115,396,122,17,2,0,70,373,182,30,2,1,79,7,157,43,5,0,43
5fb2c18920458e68fe83876d0a8a74d10869d831,15803,178,43,2,0,199,6264,169,31,5,0,107,216,125,17,4,0,48,399,175,40,1,0,67,6,168,31,4,0,46
59018e14e94bab81f9fc2d3494fe2daebd6bceb5,14445,153,27,4,0,171,7026,177,36,7,0,122,383,112,17,3,0,57,381,176,28,4,0,69,4,139,35,5,0,37
1be9fb194576921df39a1e2c9428e9a0ec841ae3,15714,175,35,2,0,179,7222,154,30,5,0,120,434,115,19,4,0,65,263,179,34,2,0,69,7,166,41,2,0,49
66b59a3a45a5f93c42446d08e605ea382b4935c4,16256,181,33,3,0,169,7002,152,32,3,0,122,469,121,24,4,0,63,361,179,35,8,0,80,5,174,29,5,0,42
d2fea3abb097930259d42516f2c748c136db2238,14269,156,38,1,0,155,6992,182,33,2,0,130,451,119,17,5,0,77,271,179,37,8,0,78,8,169,45,10,1,51
6645f40e40f98e7614f758ec0f01824194757a95,15925,179,40,3,0,185,15771,175,32,1,0,188,15811,212,34,3,0,185,599,162,37,8,0,83,2,141,32,4,0,42
a898d800f1ae74f8cdd9ebf214b9b29dd73191ce,15496,195,35,2,0,181,6694,160,29,6,0,131,438,121,19,4,0,57,397,157,28,9,1,75,8,175,46,2,1,54
c2c894ad97bd289ebeb21260792e3487d07d6caf,15983,179,38,2,1,184,5616,132,28,4,0,119,213,130,18,2,0,50,401,180,38,6,0,69,6,140,38,5,0,46
4a6707f780f635883868d3017dea31f22434984e,15749,164,37,1,0,188,6186,175,25,5,0,132,242,131,20,4,0,54,379,168,40,4,0,77,4,169,29,2,0,42
