sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,dynamicCIAThreads instr,dynamicCIAThreads project,dynamicCIAThreads monitoring,dynamicCIAThreads lock,dynamicCIAThreads violation,dynamicCIAThreads other
491d1077adf30de070728e4b73559668155f1a06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c28e9fe824c8110787c73deafb019bfe3b811035,425,0,1,0,0,47,438,0,1,0,0,55,433,0,0,0,0,53,336,0,0,1,0,44,0,0,0,0,0,28
c9aabc3600c04ca1bb858633fa8d137db3eb9429,441,0,1,0,0,50,207,0,0,1,0,31,124,0,0,1,0,28,354,0,0,0,0,45,0,0,0,0,0,22
58206912d6dc1edc5a3b9b9b91bbf29f694a86dd,420,0,1,0,0,49,198,0,0,1,0,29,89,0,0,1,0,34,336,0,1,0,0,46,0,0,0,0,0,28
b2e434bd303e2d374a57377c4e2127361feee23a,479,0,0,0,0,44,479,0,1,0,0,53,482,0,0,0,0,49,348,0,0,1,0,45,0,0,0,0,0,25
f3ddac37702567e1be686d9ce43328ab41b1a513,489,0,0,0,0,56,198,0,0,1,0,31,87,0,0,1,0,23,331,0,1,1,0,46,0,0,0,0,0,30
c337f13a9138decbcf629bbc1003004187223723,1348,31,19,0,0,69,1321,36,23,1,0,75,1375,39,22,0,0,73,1620,35,24,0,0,69,1,21,21,2,0,30
f874f9e8d012e84718555a67d10b243d3387ba52,4096,127,28,2,0,116,2870,118,29,1,0,111,448,94,16,4,0,54,4319,124,29,2,0,145,3,128,21,4,0,52
3c8b437765a6ff4c068a08d4d158c409a2875cb8,4055,133,34,0,0,125,2702,112,30,3,0,118,429,83,17,5,0,58,4251,134,28,2,0,151,5,146,30,2,0,50
d886bc15659706d9b78c17aeeb5237929f8c959c,4152,126,36,1,0,130,2880,130,19,1,0,108,440,104,17,3,0,60,4219,111,36,3,0,145,2,119,22,4,0,41
14c1d8accc0fa7626d85d6d34134c7c8b953741d,4038,123,30,1,0,125,2878,110,25,3,0,108,155,92,0,2,0,34,4396,119,29,0,0,157,2,158,30,1,0,42
1cf39d02e061dc1fb333d59feefd820022b972d8,4217,111,30,1,0,117,3048,126,28,2,0,105,164,88,16,3,0,39,4294,113,28,2,0,156,3,127,36,2,0,45
ba6721c938805d2936ffc283d72f27c42b5eef6e,4155,114,31,0,0,113,3025,128,28,1,0,110,181,86,16,1,0,41,4307,120,33,5,0,155,5,117,32,0,0,52
e3c96bbaf66c709ae831777e7a9eeb201f536566,4217,125,26,1,0,130,3022,116,27,1,0,110,431,88,17,2,0,57,4292,110,30,1,0,148,9,153,26,2,0,37
e730aa8fc23d6933b2dc4bd249895718b028ab06,4358,116,22,0,0,136,2925,103,22,3,0,109,419,90,15,2,0,72,4324,109,26,2,0,137,3,127,21,2,0,46
e6e0afa00185e5211451db7d3f5388f7a5f08bce,4396,134,33,1,0,111,4223,129,25,2,0,131,4369,133,32,3,0,120,4399,128,28,4,0,148,1,135,26,4,0,41
4ebd0515138afa6e3d7d7bee7a7d30309be90ddc,4386,147,31,2,0,128,3078,142,29,4,0,115,439,118,22,0,0,65,4574,143,26,2,0,136,4,137,27,3,0,42
8b46b6d5ba4d9e56311c402f7d77d66b59220359,4304,145,32,2,0,123,3021,122,24,2,0,116,439,102,17,1,0,66,4296,153,28,3,0,134,4,127,26,4,0,46
107ef340b7b4fc2004d53db072dc2af7fcecdd30,4676,149,40,2,0,128,4655,158,34,0,0,123,4712,148,37,1,0,139,4819,148,30,1,0,134,5,130,36,1,0,41
35029e6d18402bbcd31ecd8676f1d2a666471366,4177,132,46,2,0,121,3229,134,30,2,0,119,533,101,15,2,0,61,4192,156,34,2,0,130,6,144,30,5,0,51
f7cae61d9f545903e7dae249efbc28fa2d5a11e9,4647,153,38,3,0,126,3233,142,28,2,0,110,507,93,17,1,0,64,4277,136,35,4,0,129,5,162,36,3,0,51
