sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,dynamicCIA instr,dynamicCIA project,dynamicCIA monitoring,dynamicCIA lock,dynamicCIA violation,dynamicCIA other
beeb27a36456d4d429d956d76e1fb350a2019ad1,11699,234,33,0,0,136,10836,209,34,2,0,142,11653,216,40,3,0,146,10390,215,42,3,0,147,6,189,46,4,0,34
f8df20505ade99683212e42e987f7e0a28bc0200,10387,198,30,1,0,147,9817,191,35,2,0,133,9689,198,40,1,0,134,10086,173,35,0,0,166,6,175,31,0,0,29
4f6989e82fb9fc50d4bd727ca7948bb7851a2678,9552,178,33,1,0,143,931,141,26,3,0,92,61,113,0,3,0,28,9948,188,41,3,0,148,10,178,28,5,1,26
5903a28e812c36390b3144b637fcec2bb3126778,2696,52,30,2,0,80,3007,49,26,0,0,75,2927,40,22,2,0,83,2904,53,18,5,0,81,3,46,28,1,0,41
b31ca8aa878471ad919c0ca607dd7a70011e5731,2965,45,29,1,0,73,1179,45,20,5,0,59,139,29,16,9,0,32,3006,45,27,4,0,84,6,41,19,0,0,35
87330e5cdc4520387b61db3f65679412bac3b5ef,3012,44,25,0,0,84,2923,40,20,1,0,79,2922,40,22,2,0,80,2717,53,30,6,0,98,2,43,23,0,0,37
3fee261b6a6fd9ba9ff7c464e6dbf863ef270db7,2858,41,25,2,0,75,2633,33,24,0,0,85,2897,39,23,3,0,79,2869,30,27,0,0,71,5,28,21,0,0,45
b8eafad60ea20c63db9bbf4221b3a4269fc34802,3011,52,19,1,0,80,2971,49,17,1,0,83,3119,37,27,0,0,88,2933,43,26,1,0,86,4,42,20,0,0,48
9f551be208273104ccfc8412ebd82bfcef64ebc6,3092,43,20,0,0,79,2965,42,24,3,0,79,2873,35,22,3,0,76,3077,59,28,0,0,86,3,37,20,2,0,37
e2749b8beaf085d6572b5b6c24372317a9afd39c,2902,35,26,2,0,82,244,27,0,9,0,39,75,34,0,10,0,35,2850,40,22,1,0,99,3,34,19,0,0,40
c206d4a6a72cfe993d01890b04735fd1f0249312,2939,38,14,1,0,82,2960,53,32,0,0,83,2910,43,25,0,0,93,3063,42,23,0,0,77,2,43,24,0,0,37
5bf18b8a47ceb9ba4121c775a48549acbad5f3bd,2965,44,26,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,3141,44,20,0,0,83,0,0,0,0,0,0
81d0f1db27cf2ede0f8b360eb5be4ea23729051f,2975,45,27,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,3007,45,22,0,0,74,0,0,0,0,0,0
e60425970a7a6338b017995180401c2430f67a74,2051,16,29,0,0,78,2015,26,22,0,0,90,2073,15,27,0,0,76,1860,24,24,0,0,93,1,19,21,0,0,39
f70faa4dd79cab5df8392a53ee82497942269f6a,1794,31,25,5,0,78,1744,34,31,3,0,76,1743,21,31,4,0,79,1970,33,26,0,0,82,1,27,23,0,0,52
8e35796ac2a9f4b0476cd97348d7ae44b3046fc4,26396,2426,191,57,1,973,27428,2419,202,57,1,986,26223,2427,176,62,1,982,27136,2413,192,59,1,1005,15,627,202,60,2,744
