sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashes instr,storeHashes project,storeHashes monitoring,storeHashes lock,storeHashes violation,storeHashes other
1f06d8d7e896432b28cfdeabb3e8b3b5e60f332f,16537,452,68,11,0,213,15667,418,87,14,0,224,15555,437,86,13,0,235,16909,434,75,15,0,238,9,403,81,16,0,70
f504fc99b28b9a008ec05000b7e4d8ed0577e4c2,15401,425,76,15,0,234,0,0,0,0,0,0,0,0,0,0,0,0,637,398,84,17,0,117,0,0,0,0,0,0
279c95c9c0da3f07e74c8457207b43d3f73d5213,15763,406,63,17,0,214,9509,394,68,14,0,181,1605,334,49,10,0,84,946,398,90,16,0,116,17,421,71,26,0,77
cc6ead66b2a726d1b6a87f4586d066f7455e5159,15058,420,63,15,0,224,9839,372,90,11,0,195,636,339,9,1,0,87,256,414,79,23,1,80,8,402,83,17,0,80
9bec60fba3172639ec8e0f8d7168944e0e718121,15804,436,57,15,0,222,9909,407,60,12,0,176,1807,314,54,12,0,85,997,411,72,24,1,117,13,433,72,14,1,87
9ac91f4931edd821b4bf81cba5ac0c7601c63b6c,16296,441,74,18,0,208,10694,426,71,14,0,195,1762,334,45,6,0,84,305,402,82,15,0,107,15,413,74,31,0,66
07282e431f54316ac3fb85b305baf0f2460bdf31,16245,439,80,14,0,229,8412,375,51,8,0,154,274,348,20,3,0,60,171,417,78,19,1,78,15,388,72,15,1,77
db0b71ad8f4f567cdba08250b37b63264aacb432,16173,425,81,19,0,241,8489,347,46,4,1,156,250,315,22,1,0,68,186,404,68,15,0,70,9,438,73,18,0,86
93aae5549afe8f2655fb9ccc45e26ff2d6a17102,16416,428,74,18,0,225,11169,433,76,15,2,190,2302,362,45,9,1,85,2149,396,84,17,0,131,9,440,73,21,1,81
9fc729621ee1bf437e4d41b3dbc62feb6e3f4e70,15574,427,80,12,0,224,9885,368,74,10,0,173,1280,346,47,8,0,86,1351,404,87,20,1,130,13,431,72,15,0,67
21e66f5163b8e467df97d10d969b003774da6e13,16604,430,77,18,1,225,10790,441,74,17,0,173,1305,335,41,9,0,93,1391,412,65,17,1,133,11,421,75,23,0,81
50c2e6609a8202ca4bcb44578dded56fcb9fae86,16377,429,71,14,0,220,10555,444,69,13,1,209,501,356,7,7,0,76,512,438,79,22,1,119,12,427,68,15,0,89
6ada69ca01c97ec7f4184bc3a9f186eca8453a06,16631,443,76,18,1,216,9829,372,65,17,0,192,481,371,4,4,0,73,491,407,95,26,0,113,9,436,73,24,0,80
df223d473f8cd407f0479471921cdde2104022b5,16241,433,69,14,0,216,9977,406,72,15,0,187,524,374,7,2,0,65,484,443,87,13,0,107,6,413,80,19,0,81
eaba53ee8eede59d43eb6d2a73e7f40aacfffe38,16900,477,65,16,0,214,10202,426,81,13,0,177,1316,355,42,3,0,103,977,470,72,14,2,115,13,449,76,20,0,72
1dd45af87b9faebd04ddc9f41b11d740da2dde1a,16438,483,72,19,0,219,9909,424,73,16,0,189,1450,361,35,6,1,80,1034,443,85,23,1,116,16,441,75,20,0,74
32a4052d0ca271cb966bbc63b7137560043b3131,16338,408,71,20,1,256,10533,423,69,17,0,183,1407,375,35,10,2,91,891,433,86,26,0,107,16,451,88,15,1,92
5dfee6aeee7dae15284508aebeb46d72d53c471a,15812,419,77,20,0,224,10527,447,59,13,1,183,1623,374,35,6,0,84,960,420,79,18,0,125,14,461,78,17,2,84
58c9f3a23ae4aa76497e1443e340624b6223c67a,17401,491,71,21,0,222,10196,421,65,10,0,188,1455,359,32,7,0,96,325,425,85,23,0,109,12,420,92,15,1,73
21e825ee92cebfe34861f76820c45878b29dfee9,15823,437,78,20,0,209,10022,412,66,19,0,218,599,398,10,2,0,71,611,430,67,21,0,117,7,413,94,13,0,82
44d272944378821731a86965f6f2b6662dd45ad6,16917,446,87,16,1,236,9996,434,81,20,0,205,356,370,1,0,0,70,288,451,70,22,0,87,15,384,80,18,1,82
1ca2b5f29dfedb6811a10b2ffdd42679a02e6f35,17182,448,71,15,1,229,33,300,0,3,0,53,0,0,0,0,0,0,216,473,74,12,2,71,0,0,0,0,0,0
0380568c38d384f177bd259ebea1f2d1237639e9,16542,406,85,15,0,232,10722,429,79,21,0,208,583,357,4,3,0,73,302,444,76,17,0,110,11,461,86,15,1,89
99bbccd9e0b528bca680742f187b2544a3f053fc,17031,453,72,13,0,224,10612,459,64,18,1,203,719,378,5,3,0,78,712,424,73,20,1,127,11,463,78,22,1,86
38accf9c97f7098ed2288958f03300a19e40af0a,17511,470,87,21,0,245,16044,420,69,13,1,240,16887,455,78,10,1,271,568,420,74,25,0,141,11,429,94,17,1,75
