sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,incrementalJarThreads instr,incrementalJarThreads project,incrementalJarThreads monitoring,incrementalJarThreads lock,incrementalJarThreads violation,incrementalJarThreads other
feb8da3cf4732058696a60caec644c3c1b04ddaf,12806,238,43,8,0,179,12461,216,61,7,0,169,12832,215,50,9,0,176,12854,175,56,8,0,184,8,184,41,5,0,41
73d55b4853e16cf8410de1addd09d812b7723eca,12035,196,51,5,0,171,540,0,0,0,0,51,543,0,1,0,0,51,280,188,51,10,0,73,0,0,0,0,0,0
a7be0d0ebe19740151b16a6ce101d1bd105c46db,12433,197,42,7,0,177,543,0,0,0,0,51,555,0,0,0,0,51,284,169,44,4,0,64,0,0,0,0,0,0
6192818df68e90d7574e8d40d56a04d136a0cd8e,12466,211,49,10,0,180,539,0,0,0,0,41,541,0,0,0,0,44,300,192,43,10,0,70,0,0,0,0,0,0
7b0ce82902ec211c19c82b1e30ec53651d750220,12611,200,48,6,0,165,563,0,0,0,0,53,541,0,0,0,0,47,319,171,50,7,0,65,0,0,0,0,0,0
b7fc59d55c8d2e20685e8a13c0aebe824910ae1f,12506,205,50,5,0,170,540,0,1,0,0,44,553,0,0,0,0,40,290,188,35,11,0,67,0,0,0,0,0,0
dbad76bba982aa2822ce207967f927f8cb087128,12125,214,50,6,0,175,523,0,0,0,0,45,531,0,0,0,0,54,287,179,45,2,0,61,0,0,0,0,0,0
f83d415c90fbb3812e7cc8a38e29df61a4bb7c32,12498,214,49,13,0,198,559,0,0,0,0,57,547,0,0,0,0,39,296,149,39,8,0,62,0,0,0,0,0,0
9f178d800b37eefc74946294ddec62abc6925653,12040,200,61,7,0,191,562,0,0,0,0,51,533,0,0,0,0,46,304,170,37,8,0,63,0,0,0,0,0,0
3063eb118d0a31254390aeb3a0257dba6864275c,12634,209,54,7,0,196,517,0,0,0,0,54,567,0,0,0,0,39,317,155,46,8,0,62,0,0,0,0,0,0
f533f6c2dd4fe2a499d5c40ace94e8d5fd2cdb88,12243,202,55,7,0,183,528,0,0,0,0,45,531,0,0,0,0,39,278,189,38,10,0,71,0,0,0,0,0,0
964a7c588ece95903de982616666cde46f541d72,12576,203,55,2,0,182,571,0,1,0,0,49,520,0,1,0,0,42,276,170,37,6,0,57,0,0,0,0,0,0
67999df97055e066ca83bb86d64f8c071fede995,12311,211,50,5,0,178,530,0,1,0,0,46,562,0,0,0,0,46,318,173,47,4,0,65,0,0,0,0,0,0
cfccfbdaa52eb68b61791ad3a26b9813bdf462f4,12430,205,58,10,0,185,533,0,1,0,0,54,563,0,1,0,0,48,320,148,36,10,0,70,0,0,0,0,0,0
0a9ad1fe6753e7f48a3aa6fb08d0ea6bbfc6d6dd,11956,208,51,2,0,177,573,0,0,0,0,43,537,0,0,0,0,51,350,194,53,4,0,73,0,0,0,0,0,0
9e8e3584335da2698998cd5713604c8be79d4271,12342,191,57,4,0,182,562,0,0,0,0,47,547,0,1,0,0,53,307,162,54,3,0,71,0,0,0,0,0,0
b84a27a5da101468377dfc15d8533ed952670895,12158,205,46,8,0,173,546,0,0,0,0,48,569,0,0,0,0,51,264,184,50,4,0,69,0,0,0,0,0,0
9d2e770837bc2ebbe99a5842b5458db623d8295c,12740,202,50,7,0,187,570,0,0,0,0,45,565,0,0,0,0,52,293,170,41,7,0,72,0,0,0,0,0,0
deff6a9ebdade23fd5cd4428dac6009472a159f1,12503,228,49,5,0,190,551,0,0,0,0,53,559,0,1,0,0,57,275,155,50,6,0,68,0,0,0,0,0,0
a8af5894891b515870c0cd3b11388ca9137470e7,12243,213,45,6,0,190,540,0,0,0,0,54,581,0,0,0,0,50,289,169,44,12,0,70,0,0,0,0,0,0
2ce243d7d23af8b513e7a8ddd1d813774c18b773,11964,192,48,1,0,162,551,0,1,0,0,52,538,0,0,0,0,52,278,164,47,5,0,58,0,0,0,0,0,0
c752a173de932508d15d6fceca8439ca7f9daeae,11362,177,44,5,0,182,525,0,1,0,0,46,554,0,0,0,0,41,277,168,49,6,0,73,0,0,0,0,0,0
81b39711c0d746106cae384261455d823cf41f57,11868,193,46,7,0,168,548,0,0,0,0,49,548,0,1,0,0,40,306,158,47,8,0,70,0,0,0,0,0,0
54c83faa696055691b51edb54aaceac48d71b3da,11828,180,51,4,0,164,539,0,0,0,0,42,520,0,0,0,0,48,274,166,46,3,0,71,0,0,0,0,0,0
768e839ec9ba67f436093f3b3f454b9b56e97dee,11487,177,49,5,0,188,535,0,1,0,0,50,519,0,0,0,0,44,301,158,52,9,0,76,0,0,0,0,0,0
