sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,storeHashesThreads instr,storeHashesThreads project,storeHashesThreads monitoring,storeHashesThreads lock,storeHashesThreads violation,storeHashesThreads other
1dd870054b9a73a0e87d77b826979a023238a7c7,12409,2478,36,38,1,181,12170,2514,38,51,0,182,12180,2502,43,53,0,171,12876,2486,41,37,0,190,9,371,42,6,0,91
95b2eb2686d6bc0886f9f20454b4b702128c8342,12752,2484,37,46,0,182,7854,1402,35,24,0,152,286,261,23,8,0,87,2004,2572,50,36,0,123,9,386,32,5,0,81
d5aaa7cc8bc307512bd66efad25f58d389e2772b,12209,2457,38,42,0,180,7770,1396,35,24,0,152,423,270,18,7,0,100,2049,2745,40,48,0,168,10,386,39,4,0,72
b380cc3fc099c376c54ed454c25cc4763464f5be,12590,2498,47,43,1,181,7978,1445,31,25,0,145,349,298,16,6,0,93,2092,2607,48,38,1,155,11,397,46,5,1,83
12e7c5cbcbc76a65dd2a5ceb6a8fa4496cb21e0f,12432,2311,35,38,0,168,8071,1311,30,24,1,155,384,294,17,7,0,110,2139,2719,41,42,0,175,10,357,40,4,0,82
08d937a1ae7c23f2354d3003d8d169311d543cff,12157,2362,41,36,0,177,7962,1413,30,23,0,156,549,243,20,7,0,101,2199,2692,33,47,0,160,9,391,34,6,1,76
6cdd4b5e7252a5d55a2d20e8a084442fa1878afd,13023,2543,42,52,0,178,7884,1414,35,25,0,165,512,311,28,10,0,100,2312,2668,41,24,0,168,5,391,36,5,0,84
1bccdc924c911eb59f651610c3f04fe54df90fab,12676,2388,36,44,0,185,7532,1427,31,19,1,184,524,282,19,7,0,93,2073,2684,50,37,0,176,10,369,47,10,0,89
ebb21f7a75e7b185a68e41a657b98a25706d2ef4,12555,2493,41,47,0,175,0,0,0,0,0,0,0,0,0,0,0,0,2040,2602,35,25,1,145,0,0,0,0,0,0
9e07f423b5dd09dafa2674fa1a4ade0972d71443,12433,2529,35,47,0,187,0,0,0,0,0,0,0,0,0,0,0,0,2111,2667,36,43,1,123,0,0,0,0,0,0
e5a5c99331cb8f011f1a8c3ec7e2e129bb2f4e38,12703,2558,33,47,0,181,7895,1399,31,25,0,143,533,302,22,7,0,97,2065,2727,35,37,1,163,11,398,40,5,1,75
7c8c18bbb85ae2f6e93e5b041de4f8c861698c98,13126,2101,48,33,0,191,13075,2447,50,36,0,196,12860,2460,44,37,3,193,1989,2726,44,42,0,169,10,387,38,6,0,72
25881f3d44190df048dacfd8f9bf848dd22aeaa9,12261,2579,33,47,0,189,13096,2482,40,44,1,186,12669,2397,39,34,0,182,2204,2729,35,39,0,165,11,396,32,6,1,69
aa95ba9102dbfb5b7e0d6bbbb1425a7ba06c6f6d,12662,2523,47,36,0,178,0,0,0,0,0,0,0,0,0,0,0,0,2139,2764,42,24,1,163,0,0,0,0,0,0
c324ab452e83a4ddd9694344700834f11c77f99e,13183,2518,49,39,0,179,7653,1416,41,18,0,148,434,288,15,2,0,97,2184,2538,43,36,0,164,9,411,46,6,0,91
6ac8292c7a8e4a4746940d96f73d63e79ff36a5e,12954,2478,36,37,0,186,7834,1439,33,15,0,137,431,275,15,3,0,99,2200,2696,38,39,1,168,11,395,38,6,0,97
556e87e1b434ac4e3b06b82d0b6c88301ee6c779,12252,2553,35,33,1,164,7474,1371,26,21,0,147,445,264,18,3,0,108,2123,2646,42,49,1,174,11,377,40,7,0,74
9b2768ccaf4ef95abc4baf78979a796dc9e40eaa,12790,2566,42,41,1,176,7791,1425,31,22,0,164,356,277,18,3,0,85,2149,2752,54,26,0,171,18,389,48,1,0,83
44dab47ae2970887199351667189948a8932c27e,12831,2487,34,46,0,187,7739,1452,30,20,0,167,502,270,18,4,0,101,2158,2681,53,34,0,162,7,398,34,5,0,89
0715246cf8aad745e396413c1a2dac9c3308c66e,12659,2494,51,40,1,179,7437,1378,39,25,0,144,503,269,20,4,0,106,2213,2696,45,43,0,167,13,387,37,3,0,83
8d60321a6de0e0a67728864bff868b8db0a43b6c,13113,2529,37,44,2,217,7563,1380,37,16,2,134,376,277,22,3,0,93,2208,2696,36,39,1,157,8,400,45,7,0,75
f84ed0350b5cb068fffed293a7242a3278cd136d,12728,2565,43,42,0,193,7629,1392,39,23,0,147,457,298,21,4,0,119,2284,2696,36,35,1,155,14,378,42,5,0,100
e2168151241511b1f2a09a9bc5c09346708e8e14,12523,2401,48,29,0,220,7754,1500,29,25,1,164,473,264,17,3,0,109,2228,2671,39,34,0,150,17,417,39,5,0,76
01341e365ac1ad759222cfef12eb680fc548b656,12322,2526,43,34,0,193,7320,1291,36,22,2,171,515,287,19,4,0,120,2229,2728,34,41,0,152,12,403,39,6,0,80
867d5c3315569ac410981f058eadb9d9c569787c,12718,2556,36,35,1,174,12362,2488,43,43,1,178,12489,2468,41,45,0,182,3553,2623,45,40,0,140,11,411,36,4,1,78
