sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,dynamicCIAThreads instr,dynamicCIAThreads project,dynamicCIAThreads monitoring,dynamicCIAThreads lock,dynamicCIAThreads violation,dynamicCIAThreads other
c7087ed66219f4b9b0344c96faa1c512c0461cac,8448,156,25,1,0,130,8177,157,35,2,0,138,8136,138,19,3,0,125,8442,146,34,2,0,136,6,161,38,2,0,45
5bfbb94a6983e6a2c5a9897ceec65fc56e715144,8429,170,37,1,1,148,4234,146,21,1,0,125,336,105,15,2,0,53,421,151,38,4,0,76,7,167,44,1,0,42
3af1768025c750cfcefd2460a9145fbb44531c02,8738,188,34,0,0,128,4382,160,22,5,0,129,301,96,24,2,0,57,291,172,35,3,0,63,7,179,40,1,0,35
1088992121d8425244a429b572894a572968fc22,8480,162,32,0,0,136,4244,160,25,4,0,109,323,103,15,2,0,54,434,157,42,2,0,75,5,149,51,1,0,41
f7bf48fb510989642a40bad1341ab8c71ee410e5,8654,190,33,2,0,139,4375,153,33,4,1,111,345,108,15,1,0,50,440,186,47,2,0,79,9,179,41,4,0,34
a03e7067a036d55ad7cbff57f8ad5bb4e0d2afee,10221,204,30,0,1,163,10432,218,42,0,1,130,9117,184,38,1,0,150,2730,178,35,4,0,93,9,151,23,2,0,37
ca5e1057cf3bdf3f64177daf36ea4039d66cad4c,9861,201,30,0,1,145,5161,203,29,2,0,113,374,148,19,1,0,80,221,248,46,3,0,58,8,202,31,1,2,43
4d692e9c74488e640bce245a6e6c982464e5423f,9847,192,30,0,0,137,28,128,0,1,0,41,35,129,0,2,0,50,204,227,31,3,0,55,10,203,39,0,0,50
d1fdcfb1f3ae8326411022bbc7bebee07f1948bb,10212,209,32,0,0,145,4979,167,23,4,0,116,344,133,20,3,0,81,275,243,40,2,0,87,11,215,34,6,1,47
56d971dc2014597a1919f5e9cebd638fadb8e235,10109,184,23,1,0,151,5203,194,28,5,0,104,337,134,17,2,0,64,354,202,33,3,0,57,6,202,32,0,0,44
68471da689d4eb3cbd1b8829106273cda0f1fc40,9840,180,29,2,0,129,5161,187,29,2,0,119,104,131,15,1,0,37,274,211,38,1,0,68,4,181,33,6,2,45
893e20e8817b3437630fe390214ab8fb7a8146c0,10412,208,38,2,1,154,11093,213,33,0,0,161,10516,205,39,1,0,161,4220,162,29,2,1,108,8,183,23,2,0,43
dd5a9b404e844ed18862af061338aab9a8a691bb,10891,211,42,2,0,163,11321,230,43,2,0,154,9872,195,37,0,0,147,8717,179,37,2,0,122,6,184,18,2,0,42
f6dbafd31bede6345ef41a6eba3cb930b165707f,11086,249,28,1,1,150,10433,222,39,2,0,150,10140,187,35,1,0,151,1820,218,33,2,0,129,11,208,30,2,1,59
cb8e4d36a320febc3f594ad073c1ae64dd090f6a,11002,203,30,2,1,151,11086,203,34,1,0,169,10989,222,27,1,0,160,255,214,32,0,1,78,14,212,28,3,0,50
c5c5b42a04013eed865715fbf373466244868a9e,11227,208,34,0,0,157,10548,212,36,0,0,168,10905,208,30,0,0,165,202,211,30,3,0,67,6,195,26,0,0,64
ce818232fc4bf6154795193f428466bfd59dc4f8,10414,185,23,0,0,132,10739,170,34,1,0,148,10529,197,32,0,0,174,9667,204,27,1,2,134,8,146,27,1,0,56
