sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
7ba41ad23656dc86f201ad3f5979f221c5b5d8d7,13458,417,50,7,0,185,13572,396,53,6,0,197,13788,396,50,4,1,188,14318,414,45,7,0,189,10,331,49,3,1,64
d01b718dfb0b74c80d87871d7bb464cfdb38668d,13395,378,52,9,0,186,6246,364,30,10,0,125,31,294,0,1,0,67,371,372,52,14,1,74,11,420,44,9,0,83
36076e72d4f6d60276ca3b1fc7e5d896e20f17ab,13568,393,48,4,1,186,6225,337,54,7,0,123,204,330,20,2,0,70,402,411,48,10,1,68,10,420,49,7,0,71
8a6d8b759a6196f02664f4c95677335168a8dcda,13962,372,52,2,1,183,6956,387,53,5,0,138,147,318,17,3,0,64,363,384,43,7,1,87,8,401,51,4,0,77
ff6b04f5510e90cc2105792f0be7354ec64cd891,13996,358,62,8,0,200,6591,358,45,5,0,131,167,290,27,3,0,65,413,414,57,11,0,80,11,376,46,7,0,71
44ce35b1bbc43659e15a34fdcf1ea0301a16daa4,14068,431,53,8,0,185,6577,365,47,13,0,136,36,288,0,1,0,59,349,391,48,7,0,77,10,385,59,8,2,67
5066da8dbaa6f5cdaf1e685c2e33f3fcab249704,13623,395,46,5,0,204,6625,348,44,10,0,134,152,310,30,2,0,56,346,370,50,5,1,77,8,355,57,5,1,71
e1140a27b8a0f489192c1773831759152f4a2bcd,13770,413,40,5,0,190,6959,374,47,7,0,136,181,279,25,2,0,63,526,395,60,7,0,89,3,379,46,14,0,77
b52d9c7e59ca2fa01c2cb143e51c2331603bc6b9,13905,417,48,13,1,196,6877,359,40,8,0,137,392,337,21,1,0,75,464,384,61,10,1,71,8,378,51,11,0,77
ed947c782bc3ca07730eb9765b839577457693d3,14264,405,57,8,0,182,6095,304,54,4,1,134,307,332,20,0,1,66,374,390,58,12,0,68,5,377,50,5,0,76
487db04fe231052e55148939c8a0a8845a0fc089,13920,348,49,3,0,201,6695,378,44,10,0,124,517,321,28,1,0,80,581,369,65,10,1,100,12,385,45,13,0,72
a684bfcb4dfff6239a7f9eabe7c156d5413a8e20,14412,442,57,6,0,197,6638,367,50,4,0,136,325,323,23,1,0,66,354,387,58,13,0,79,7,418,57,10,0,73
ead26267a24b9a451d3f96f75b06fa6dbfc660f1,14100,394,71,4,2,180,6834,394,44,8,0,129,347,309,21,0,0,81,418,390,63,8,0,77,9,372,47,5,0,72
4efd8018e7710352af8c0cf22c45934b289af927,13690,393,54,6,0,192,6884,366,44,4,1,135,335,331,22,1,0,72,317,382,57,8,1,71,15,397,56,5,2,76
060f3f166946dcb9ef8e1c540cb313e7290ddce6,14034,418,50,6,0,196,6697,376,47,11,0,128,327,312,23,0,0,70,333,417,60,8,0,74,11,425,48,6,1,81
31554bf6bf41970db5b39390bcf681c636f3a87c,13499,423,54,8,1,201,6942,397,53,9,0,147,337,281,21,2,0,70,341,428,49,9,2,93,10,369,78,11,0,67
d26ca579d042037d5b4b087986be62bff8e4c132,13923,396,46,10,0,183,6657,368,50,9,0,131,341,322,25,0,0,75,442,434,50,6,0,79,12,404,55,7,1,64
e3529a9d31fe7917dc2b7f8898464de49c8b66d1,13811,426,44,12,0,189,6815,366,36,6,2,141,353,319,23,1,0,72,450,431,45,10,0,83,10,374,56,13,1,82
260eb94cd0edb6b2ee3309d15b48f6fbe940eaa8,14432,460,51,8,0,198,7069,401,43,6,0,135,333,335,29,1,0,59,401,422,56,4,0,76,10,399,48,9,1,74
35190318898130305c25f46e3c6ec273a7366b64,13802,459,63,8,0,192,6919,363,38,8,0,137,529,323,25,1,0,82,498,402,55,11,0,91,5,380,64,10,0,62
d0424854ba57cc5b8c4cd58a38ad59c2f67dab1d,13726,406,49,5,1,210,6542,383,42,5,2,139,146,299,23,1,0,69,303,425,50,8,0,71,13,413,52,7,1,69
7c862b0f583219652223cddb82ce4e604efc36bf,13625,415,57,6,0,176,6967,426,31,7,1,136,504,303,24,1,0,77,405,388,55,8,0,87,9,392,59,15,1,81
8cdea7ff2dec342f996adce57499570d462a6993,14388,440,57,9,0,192,6866,380,53,6,1,139,301,318,29,2,0,74,350,407,50,8,0,94,11,398,48,14,0,73
fbeed71b6e647ddc7240bfd24e82ed4e03dcc754,16731,415,57,7,0,284,16629,439,55,8,1,314,15862,448,59,6,0,276,13288,384,59,15,0,259,0,0,0,0,0,22
cf91467608f7a705496362b3140d7f5241d91a95,16968,428,49,9,0,304,16727,412,41,10,0,328,17030,418,53,7,1,296,4206,410,42,12,0,205,7,373,40,9,0,156
