sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,jarThreads instr,jarThreads project,jarThreads monitoring,jarThreads lock,jarThreads violation,jarThreads other
e3514b997c79a0c023ce4de835d6b19c17695f80,11870,239,66,12,0,169,11952,278,57,5,0,177,11673,249,50,7,0,163,12052,261,73,4,0,179,14,245,68,9,0,76
f00ded57b7aea7fbb0bef0aca7b889fb25f88974,11336,248,68,9,0,177,9066,279,58,4,0,155,832,217,32,2,0,111,466,258,77,4,0,116,6,280,58,5,1,68
e703bbe63b6d84e8a5b04342392594bc67bda34d,11142,244,54,7,1,155,8299,248,65,7,0,154,820,209,26,2,0,120,344,241,58,6,1,90,8,260,72,4,1,68
718c7e25cdb129d6405ca8e7358b535c80b15c1e,11875,247,56,4,0,173,8932,248,73,3,0,169,1726,205,40,2,0,126,1626,215,68,7,0,121,7,252,62,16,1,73
cdfc73b038a82609c3e1545430364e31283ba028,12296,297,56,6,0,171,9458,253,67,9,0,148,1773,214,50,4,0,123,1989,259,60,10,0,131,5,273,75,5,0,76
835c783e9270f8e2fcff98846ef7cae7051c1754,12273,276,60,8,0,157,8786,278,61,8,0,149,197,199,0,1,0,78,290,260,70,10,0,101,7,247,70,5,0,64
1f5afe1466c5b5b1c68b7ff91d8947400a5c1b75,13111,273,81,5,0,168,9071,284,72,11,1,147,1070,217,40,2,0,112,633,246,71,6,0,135,7,283,64,9,0,62
e94b1c16d94082b86ac928a555a3f98a3ba60bab,11893,246,59,7,0,164,9170,295,82,8,0,153,1127,210,32,1,0,107,669,232,66,7,0,121,8,259,66,10,2,64
f0c9827ff637d1c8c078e4d7c1ebabb8927d49da,12063,291,63,7,0,166,9159,260,66,2,1,142,1258,192,35,1,0,117,977,253,67,7,0,129,7,276,62,5,1,70
abe517fe65a5f0839763120b5350e6ea0d0da1ea,12506,289,55,8,0,169,9203,234,67,6,0,158,1094,240,40,2,0,100,975,245,78,5,0,140,4,265,65,11,0,73
dab8351313c664117e248afff1f4fa11b26bfd5e,12235,279,56,11,0,163,9057,275,63,3,1,161,631,227,27,1,0,106,416,283,65,9,1,126,3,278,57,4,2,72
d5e280bf6716fc6eeea37f294bfc6420edf5caa6,11561,264,64,2,0,175,8965,251,71,3,0,154,638,231,23,3,0,109,327,277,49,12,0,99,7,263,74,7,1,58
941ff616e9a044f82e5ee5c4b6460ac8d36d6bb8,11940,258,55,4,0,172,9313,283,60,7,0,151,1743,226,52,3,0,110,1411,228,75,5,0,128,12,287,62,8,0,87
2a4a9522fd4117cbe52aea7bd5d3de5b5e448bc2,11537,268,74,6,1,197,8936,246,67,5,0,154,1535,219,33,5,0,119,943,285,81,9,0,133,11,263,65,12,0,104
4760caa9533a78061a376124c1dad382dfae2451,12076,258,63,9,0,177,8627,241,45,7,0,164,993,243,27,2,2,121,424,255,64,6,0,115,8,338,82,11,0,123
42c0f0fead1e3dd4fe9b4ef4590f25c7f98c0bc5,15689,332,57,10,0,185,15358,334,61,8,0,186,16326,380,86,2,0,177,5480,341,72,12,0,152,11,331,59,12,0,83
1391d6c3f64afdabfb8b3f75cd8c39b5f8f2e53c,15186,364,66,5,0,192,11271,326,81,11,0,161,1006,309,23,2,0,118,722,319,65,15,0,138,7,356,84,6,0,97
976b65794d345cf5c18126c541d06435ef97bedf,15893,341,68,5,0,185,11437,311,76,7,1,160,1598,248,30,2,0,112,409,345,80,18,0,111,15,384,81,13,1,114
914ab283c014376635e70d86222d92ec0f8cf8fe,16224,313,69,8,0,182,12095,340,72,5,0,167,1758,278,41,5,1,125,901,314,69,13,0,142,8,325,77,12,1,102
1fa8a112de987db835bd15c906234dd72b9e406d,14868,329,55,11,0,196,11256,309,70,11,1,167,1763,251,46,4,0,116,491,375,87,8,0,130,13,406,77,10,1,103
899cf4f0afdcbcfa077f0fbe2a8856409b00f51c,15826,335,62,13,0,176,11302,357,65,5,0,167,662,268,25,0,0,117,432,387,77,14,0,104,8,335,78,8,0,99
3789156a0ab07c4b2cdd91e8165ca733ecc01905,15763,293,74,4,1,200,0,0,0,0,0,0,0,0,0,0,0,0,4697,336,79,12,0,159,11,334,78,13,1,96
