sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashesThreads instr,storeHashesThreads project,storeHashesThreads monitoring,storeHashesThreads lock,storeHashesThreads violation,storeHashesThreads other
c15ac3bc52c1012d5840dfe978dc7aff3cc8c715,7865,89,32,11,0,88,7820,75,31,6,0,101,7989,69,33,9,0,111,8260,86,30,5,0,116,4,64,36,6,0,26
123abd4a9d51219ed9cb737e215a085090a1c71f,8191,79,30,5,0,114,35,42,0,7,0,32,30,53,0,24,0,29,180,86,32,5,0,37,3,76,29,2,0,28
691eca3cb969f73516ae147dfb4843bdab27c862,7889,96,33,7,0,119,6016,72,34,8,0,92,235,52,23,6,0,40,327,85,27,5,0,50,3,92,40,5,0,30
cbf359809c1dd4632fdb8bea44b754ce22b078b0,8250,80,33,2,0,132,5857,62,30,6,0,88,156,48,0,5,0,34,237,79,29,10,0,40,1,99,37,3,0,25
dd86998ad47d4a4994bec0e5515c38111fded3c8,7959,97,36,6,0,127,8432,89,34,6,0,130,7421,81,45,6,0,121,5194,82,42,7,0,86,3,113,45,7,0,25
b0d9cf8b6702c9ffc40dfffb65473b7534c21933,8120,95,41,2,0,123,5565,79,38,5,0,86,204,58,15,4,0,34,257,88,38,5,0,40,5,101,36,6,1,29
fa59cb6f7912fa61574a249a0c1da4942e31ae12,7771,98,33,5,1,115,5482,83,23,4,0,74,165,59,15,2,0,36,242,87,41,9,0,41,4,112,39,3,0,32
8f51ba028b59923c557c025f25d0f217baa6c08b,8146,115,39,5,0,128,5115,79,33,7,0,83,172,51,14,4,0,31,262,86,28,7,1,48,3,100,35,9,0,28
e80bf4132dabe4b36a420723b2ca06d8a87a3602,10774,113,35,5,1,151,11072,124,36,2,0,157,10828,111,38,3,0,139,9343,130,39,6,0,134,2,126,49,6,1,32
9d250e719c7a55f7ac482060bce018b9f89513c9,11113,115,39,3,0,154,7419,103,34,6,2,136,226,71,17,2,0,43,319,122,31,4,0,56,7,132,41,6,1,29
f0978e9dc2a3d70e0577285adfb8f24a1ba99a3c,10917,118,32,9,0,149,7478,102,31,6,0,96,130,65,0,3,0,33,271,112,39,9,0,56,5,128,41,8,2,24
d9b08d36d3d8495a3f28f623f3c669175d26dcdb,10307,110,45,5,0,149,7627,122,30,4,0,128,175,66,16,1,0,37,255,111,35,6,0,46,6,126,36,4,0,32
3554cf68751d09d41ff5e8d01b50dec720fa89d7,10676,119,44,3,0,152,11043,114,34,5,0,151,10743,149,36,7,0,147,6315,89,38,7,0,98,5,108,31,5,0,27
da5ac54c5d203b08e243fb9d5c0707cf44c05231,10432,125,47,6,1,138,7688,122,46,4,0,123,206,67,0,4,0,39,288,112,36,9,0,62,3,121,41,7,1,28
dcc00dc77d35cca48397ec1283c0b16895b1732f,10309,125,39,7,1,142,6939,118,31,6,0,126,214,66,15,6,0,38,329,126,45,5,0,60,9,122,32,8,0,21
e75d9fd017fc0afe81788de83b27d38fdbb62de6,10327,120,44,5,0,160,9844,109,42,8,0,139,10179,129,43,7,0,142,2385,107,31,3,0,82,5,117,35,6,0,39
e4bc6a4e1805c3c9549a7b74b0111482a7b216fa,10459,129,40,7,0,146,6657,110,41,4,0,134,156,66,17,7,0,43,176,99,37,7,0,61,5,132,40,5,1,39
10e00b065812c6e3ca0cf5628dfbd01751dea62c,9884,122,29,11,0,155,7401,109,44,10,0,99,212,65,0,5,0,42,348,137,38,6,0,70,3,124,38,6,0,44
f2f7cbb681140ac27c9981c97c8a2dd054ba5d88,10595,113,52,10,0,158,5517,90,22,2,1,84,166,72,0,5,0,40,238,130,35,5,0,74,2,122,37,4,0,37
3ae07cbb3d7b36ca3a57db95b71366c916c75693,9436,111,41,7,0,159,7702,114,42,5,0,108,353,88,14,4,0,59,550,141,43,7,1,72,4,127,40,5,0,39
c9d4b546f5a14a46a70da29dacb4857276274135,10639,136,37,5,1,158,0,0,0,0,0,0,0,0,0,0,0,0,329,134,49,8,0,77,0,0,0,0,0,0
