sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
181e276c75b4f462f61b6da22d27b00f9cc33f07,14461,97,51,6,0,341,14848,89,60,8,0,352,14402,84,55,12,0,371,13841,91,56,7,0,330,7,78,54,9,0,174
161f2f7f90a8784f4b0b11e4e139b93af10fdb0a,14360,81,57,13,0,349,951,90,19,2,0,241,130,67,0,25,0,205,3268,92,49,11,0,253,2,89,18,0,0,130
c8604865909de5e56c16ecb7bbecd379321056fb,14393,85,46,6,0,337,1260,84,18,1,0,222,139,76,16,1,0,170,3314,84,50,9,0,256,2,93,27,0,0,144
44ee9f4f1f3d49780f88ef74ec7aa501e3eb2d89,16324,86,50,7,0,344,1212,76,25,3,0,244,120,61,0,21,0,198,3579,91,46,10,0,264,6,81,29,2,0,164
40f8adc677d2155262cbad6e1771833c2ad33e4f,14458,74,42,212,0,376,1251,80,24,203,0,255,123,63,0,217,0,191,3407,89,65,210,0,277,4,88,25,200,2,145
1a881c5da7e341ba0530640499800b20ddd8067a,13491,83,48,219,0,323,1258,86,24,202,0,240,146,84,0,227,0,176,3371,94,43,208,0,310,6,84,33,201,0,157
1429119c504bb39eb00254d80008e7df5e388319,14284,80,49,207,0,348,4590,71,29,202,0,264,158,55,18,201,0,206,3520,88,60,208,0,268,0,83,28,200,0,155
bcb9b9dade3967f316039dcd2b8ae53ef9a2a228,14510,91,47,209,0,343,4306,77,30,201,0,259,185,58,15,200,0,196,3792,72,53,214,0,291,1,90,28,200,0,145
a969ad768d29b8c801b26bc8cb6e7e9b542bc3c6,14604,73,54,209,1,352,1247,92,28,201,0,262,152,71,20,203,0,200,3446,87,56,217,0,287,2,101,21,200,0,151
504355da6964993e83d7847d68eab721a7075a32,14342,83,42,209,0,337,13979,99,54,211,0,333,14304,82,50,210,0,342,3595,73,47,212,0,280,5,89,24,200,0,150
c3d45b0628c7149325dd31a6911894cd19af4438,14771,87,47,216,0,355,13112,91,46,207,0,326,14883,86,64,213,0,358,6985,94,52,208,0,271,2,75,22,201,0,173
db2fa94642f64862cc877059e5e93ae8fc88fc9a,16717,93,56,209,0,339,16356,89,50,211,0,317,17855,105,51,213,0,369,17710,103,53,215,0,368,6,89,26,200,0,153
b96db214d7bd87a3d372a7ea7b491dd673ba7673,17480,97,60,210,0,358,8902,86,41,213,0,288,226,81,2,223,0,194,6456,78,60,205,0,263,1,95,27,200,0,157
4347d703e9e05f23154ea64d06f666efedce2724,29533,199,105,215,0,556,29938,225,120,222,0,584,29453,235,99,217,1,518,8839,247,114,214,0,451,8,186,82,204,0,331
89d3e75da1ccdf609fbcb52fe962185c711cdb46,29669,244,97,218,1,547,14821,217,110,220,0,518,389,188,23,221,0,295,8059,215,100,209,0,443,11,190,88,209,0,330
016bf1c053fcd0fd93e3a6b2d1921db5eee24b65,31359,217,113,220,0,577,14752,196,115,218,0,511,413,196,22,225,1,343,8730,225,108,226,1,479,9,176,102,208,2,340
ae4b199253e0dc26f73014ea8a10212c7cb4c723,35572,418,368,276,1,749,35186,379,412,263,1,718,36710,408,366,288,7,793,14653,376,334,265,2,739,32,424,517,275,0,501
4ac69238df839ba8cab8be3996372ab92ba0f6fe,36124,367,379,265,3,714,18178,382,338,256,1,658,414,323,19,224,0,329,4232,422,414,281,8,677,35,392,526,296,4,503
59a3f6ef3a753c16b39ca722214f7af42d842741,37349,426,346,266,4,791,2130,338,57,206,0,426,117,329,0,227,0,285,4419,429,424,274,3,669,37,405,505,288,1,505
96b0e3548081d16cea6736c756eb806a5ddbcfad,39832,415,384,272,0,851,18703,370,388,266,1,748,447,296,46,227,0,384,4481,407,402,273,3,735,54,482,534,283,3,634
ea0f97bcb1673ad51fbfbe9cfc050079f70fa660,35275,433,411,284,6,811,17332,468,383,278,3,617,456,381,24,229,0,317,4482,520,442,275,3,660,35,473,587,292,4,452
8abdbd860154b5650120c3faa2287d68737e46b9,35808,497,382,285,3,717,17695,440,391,256,4,607,315,349,23,201,0,286,4731,487,448,290,7,672,33,481,534,283,1,476
34da7e87f623a106d04282cfb455d6ee4cf3b1c7,34126,446,415,281,3,702,18364,478,397,264,1,603,239,350,0,226,0,290,4353,517,430,286,2,652,33,514,522,299,2,454
447d5e0f288c931429a2337f251d6c247f5114f4,35372,455,391,304,4,810,18040,483,403,269,1,618,235,386,0,226,0,287,4396,496,421,286,0,656,34,496,591,299,1,454
e03ba0d9b72f31d3cdf23cd474866a6563519b4c,35858,463,429,297,1,813,36681,471,403,291,1,723,37041,500,395,281,2,740,9555,517,466,294,3,635,18,502,594,293,3,566
