sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,dynamicCIAThreads instr,dynamicCIAThreads project,dynamicCIAThreads monitoring,dynamicCIAThreads lock,dynamicCIAThreads violation,dynamicCIAThreads other
96ae7de82b882c3885c7df0c398795195a381b32,11157,199,40,1,0,162,10712,196,40,0,2,150,10661,196,40,2,1,159,11027,232,30,0,0,151,7,241,37,1,0,39
a1349f23e6f97056bfcabf0b7fcb365c0d1aafad,10784,210,39,1,0,165,6977,217,35,2,0,130,313,156,18,0,0,70,9554,180,41,1,0,133,7,192,48,1,1,45
60dad5b5225f880bc0c3cf5ae6940bc5fcc8668f,11285,205,30,2,0,167,6812,190,22,1,2,121,322,157,26,3,0,76,10205,197,31,4,0,153,8,201,41,0,0,47
6eee6741ec6d6ea2a43b8a3d892975719b0b4a60,11192,201,35,3,2,134,11320,207,33,4,1,147,11326,194,43,2,2,150,11027,221,40,3,1,141,6,238,39,2,1,42
99530abdfcf684d207948b9b382293734c581f67,10546,217,34,3,0,155,6824,211,30,1,0,134,344,147,27,3,0,88,9551,169,33,3,1,145,7,209,31,2,0,35
ca5e99f797dcfee369785cbfd34b656d2ae68b77,11262,226,32,4,0,165,6709,207,30,1,0,114,317,140,21,1,0,67,10213,205,32,3,0,164,10,212,28,1,1,40
64bc130646a480c8b16e60cb97dc5c1193b15456,11225,216,36,5,1,166,7132,203,35,2,0,134,310,142,23,2,0,64,10634,229,30,4,1,147,7,229,39,1,1,39
dc871b5092670e6e8a992e1c564c0ac8df12a48f,10737,202,32,1,0,155,6748,214,33,2,0,133,341,159,23,1,0,88,10625,207,25,2,0,140,3,209,34,2,0,46
80830d148945ea9dfb111ffcc35bf403be006485,11426,219,32,2,0,141,7390,234,44,1,0,121,189,138,24,0,0,61,11090,217,32,4,0,165,9,219,26,5,1,43
cf6a21f36d5522d7476434e0e7161aebe60198c1,11014,228,37,3,0,148,6782,192,34,6,0,132,181,144,27,0,0,69,10054,202,43,0,0,117,8,225,36,2,1,42
31ad2a607c60e8c8ed3f9d50f6c7467437f58b3d,11373,230,33,1,0,161,7115,203,35,1,1,132,415,158,20,2,1,74,10665,200,36,1,0,181,9,224,35,0,1,52
4d18525fe40ef4b90062aa1dbc2cdfe9de0fe6c8,12002,230,44,2,1,184,11997,230,40,3,0,169,11356,208,54,2,0,153,11403,210,51,5,1,170,7,236,32,1,0,50
cb69c8fbebef25b9b1e6ee6ea50f77684d88eda7,11580,232,51,3,0,166,10758,208,31,1,0,163,11657,227,31,2,1,173,11020,218,44,2,1,190,13,204,40,6,1,45
1a5626b1580541cf8885ec46cd90257b0004548d,14323,351,39,2,2,187,13627,318,36,2,2,172,14473,340,41,5,1,198,14691,334,36,4,2,177,11,338,29,6,1,67
fac0b719d8037eab3a464924101d042fe272cd16,14710,331,47,3,0,172,14324,340,38,2,1,194,13848,310,35,3,0,181,3794,334,44,1,1,136,8,328,35,7,0,74
3c6f6a87c754acb3fd9c4680bc5591aefd6c8561,14336,341,38,4,1,199,9729,313,38,2,3,163,512,249,20,3,0,99,3812,317,40,2,0,139,15,321,32,4,1,60
7494d4a308eaef805df180192bbfd69dd6c31414,12917,290,35,2,1,174,9872,317,36,2,0,155,506,269,21,2,0,89,3977,339,41,3,0,113,5,311,35,3,1,63
9a8a5ce8d45a86a09c6f44453c366dbc96c15cbd,14682,371,40,3,0,193,9676,325,41,0,1,158,517,271,18,2,1,93,3959,318,32,1,1,116,7,336,37,7,1,63
9a63a46afb7636e0f12b59ecc5c78f65d43d73bf,14265,322,37,5,0,176,9326,314,30,1,0,152,522,252,18,1,0,79,4214,342,37,3,0,163,7,321,32,4,1,63
3c31612648a9ca6f7cc999d15e0090e73b6455fe,14642,323,37,4,1,188,9915,331,31,3,0,160,484,263,18,1,0,90,4002,333,50,3,1,130,8,322,38,4,1,68
c8aba93a7ab4521c45a4d6d9f70636b902fae0f1,14916,363,43,5,1,195,9549,337,28,2,2,155,494,266,21,2,0,96,4190,336,35,0,0,121,9,350,40,4,0,59
0c77ef8370e655b67e4d809c641c191d3f169b82,14492,376,41,1,1,172,9628,334,34,2,0,157,493,232,21,1,2,99,4198,319,36,2,0,117,5,319,39,4,2,67
87f2d4061688351b056d3d360ff93385a39b8aa3,14426,313,38,1,1,180,9341,333,33,2,0,158,547,245,19,3,0,89,4147,318,36,3,0,155,7,323,36,6,0,65
e21fbb8c588ebceebefb05af8e678cbf19e8de70,13972,326,43,3,1,181,13878,326,29,1,1,194,14887,361,35,2,1,173,8477,311,30,1,0,160,8,329,33,4,1,63
8f2628ca0da61666c5f707762d0a949d54d1417f,14879,324,46,4,1,181,14412,310,32,5,2,178,14564,326,26,3,1,181,9957,328,35,6,0,156,12,325,54,7,1,62
