sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
f4dd635091ecc6573b0c52b9fd9babd31f348b03,9959,439,98,28,0,221,9681,422,117,25,0,198,10052,424,106,33,0,206,10008,410,100,22,1,201,20,512,127,32,2,135
79f8453ded4767fd61a7e7d479db0a10c87c1833,9506,433,95,20,1,217,6389,396,103,21,0,161,579,358,27,1,0,121,9691,424,109,15,0,177,15,456,119,30,1,158
d989049c1c4002d343b2e5a0ecf5b0d54465fbe8,10044,455,106,23,0,235,0,0,0,0,0,0,0,0,0,0,0,0,10170,407,117,23,0,204,27,438,96,19,1,126
32d4b6932b72a1a5f0b6feb91eb842e4bdecb021,9700,391,116,20,0,232,10225,417,103,25,0,231,9769,415,105,22,0,222,9975,436,113,19,1,214,22,500,102,28,0,136
84e97e1a218f885db3c22833a8b705ab89839f65,9495,413,101,23,1,222,10013,435,119,23,0,214,9825,459,103,21,1,224,9469,400,114,23,3,211,23,506,111,35,0,119
d0be0c4cb3ac9f1abf42ca858fcac2323da177d9,10548,434,100,35,1,232,6284,382,86,27,0,196,653,363,27,1,0,124,9927,452,127,24,0,193,22,435,104,38,1,138
40f2af85055bca8b73526b8718a26df2ad6df8d9,9791,432,119,23,0,232,0,0,0,0,0,0,0,0,0,0,0,0,9950,437,110,20,2,179,0,0,0,0,0,0
41720c47548777846bb290c65bf3a2c324434a19,9337,388,90,18,0,180,6747,399,127,25,1,169,645,340,24,3,0,127,9285,395,93,34,1,196,19,465,98,33,0,144
a1816ecd052ca2e300dae1f0f472207465b08ba2,10174,463,119,21,0,217,6694,414,81,23,1,175,536,340,22,1,0,117,9593,438,95,30,1,206,11,603,125,41,0,139
01438507d2b38fff94e911534c4593fc479b8e22,9208,397,89,16,0,227,6744,356,90,26,0,169,917,350,27,0,0,133,10012,452,114,40,1,201,27,524,118,34,0,158
837c5d8eaf6646e77c215cfd5fd4b54cd35af276,9729,385,104,18,0,222,6502,420,104,36,1,228,439,374,22,1,0,146,9513,407,92,28,0,218,24,454,101,24,1,145
c4ad600c0b3cd5efdf2d81a5d2080a69e45a123c,9502,426,114,30,0,233,6346,366,93,20,0,161,628,347,22,1,0,113,10079,448,105,28,0,220,26,438,93,30,0,144
9463ebeea3f0e147c05476d13d515687ad4048fe,9537,396,108,15,1,235,6841,456,128,31,0,177,752,382,24,3,0,135,9853,404,104,32,0,214,25,470,95,39,1,132
c328014d97e8c29874a56237d07410dc87c7fa54,9720,457,98,22,0,225,6683,412,96,20,3,184,637,375,23,3,0,112,9896,444,112,31,2,236,18,483,91,39,0,143
f6f368c702b0e36e888217c3c65798fb47095c58,10262,442,118,31,0,225,7008,439,105,31,0,158,602,333,20,1,0,112,9986,408,115,25,1,228,16,454,103,40,0,132
14b505b871f64cac2462fffbc587bf96cc33316f,9992,447,104,25,0,218,6752,426,113,24,0,169,559,358,26,0,0,106,9458,402,106,23,2,232,19,467,105,20,2,146
6c56ae0df557afb60ab856e8c0726b630a326a7c,9654,387,104,19,0,220,10407,462,102,33,0,215,10786,445,117,20,0,210,10219,433,111,23,0,214,22,466,88,31,0,142
563212124561357e4bbd3a33b70624b6b41f8718,10418,430,111,26,1,225,9704,454,99,18,1,193,10020,463,98,15,1,227,9690,450,97,16,0,229,19,659,135,36,0,135
72c07fd689e227fd105ac80b52f1d2fda7a34298,10170,471,107,31,1,233,7139,448,110,34,1,171,595,393,19,1,0,99,9767,449,98,26,1,223,26,709,127,43,2,148
34eeee611c069d6b616c6677e466314ca4926091,22182,608,121,24,1,286,22293,566,106,31,1,289,22396,577,110,23,0,278,21621,545,104,16,0,286,19,595,83,34,1,119
8d581d537e48e826849c90bf9197fdd4f80a189a,22889,586,114,19,0,298,0,0,0,0,0,0,0,0,0,0,0,0,15869,708,134,40,0,298,23,677,95,36,2,130
1c77d0ab94c842508054960c02b32ace523fb0d5,22438,624,108,22,1,291,23742,633,111,22,3,293,22066,581,110,23,0,300,8138,537,112,23,0,256,21,686,113,34,2,132
5271eb57fab32fe2e9a649e5f29b212667bf0408,22085,600,106,24,2,301,13546,574,104,21,0,238,610,489,23,3,0,109,8528,609,121,26,0,251,20,665,108,37,2,142
33f79df5b38fdb3fe58b509ea82558d4ad0745dc,22974,605,116,25,0,301,13831,564,109,32,0,260,662,485,25,2,0,128,9092,613,119,25,1,245,16,636,92,35,2,138
512e702881b377947b6bfba701d5e94588575560,23745,640,115,35,0,275,13832,608,122,23,0,240,637,575,25,5,0,136,8544,556,116,26,3,263,18,614,97,27,0,115
