sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,classCIA instr,classCIA project,classCIA monitoring,classCIA lock,classCIA violation,classCIA other
767e5ef237544640bbf638a145317c223c4525ab,13812,458,157,74,1,187,13945,436,149,89,0,211,13097,425,138,85,0,195,13639,461,163,97,1,195,24,469,170,77,1,96
441a17e9cede9cc73dc2860e29d779a85fd99e99,13297,465,150,72,0,201,25,360,0,4,0,49,315,361,23,0,0,73,2696,460,158,86,1,130,23,461,175,92,3,82
11c857e7eb359fcabd6ce7e0a02cd7ad773b0d9c,14463,472,165,78,1,190,39,358,0,1,0,56,346,383,17,0,0,75,3036,461,164,81,2,146,27,473,166,88,1,88
e5ac9345dcda19981fe521530708e8f24537deaa,14141,499,161,94,1,215,13858,486,161,77,3,207,13269,473,149,92,3,206,3160,506,157,89,1,193,30,490,203,84,3,93
b22ddbf0544d9e019c41af70f1320497eedc867a,14297,490,173,81,2,205,3228,431,68,20,0,148,132,401,17,2,0,61,3168,490,166,81,1,187,28,503,190,67,2,97
0904f0e9cc3d73cb94dda690b3b4fbeefe828e9c,14438,760,238,129,2,247,14002,727,206,127,1,247,13896,756,225,146,4,285,3323,768,202,137,0,207,36,718,215,137,1,118
6efd85b2d8267d554293eadd608c9963f81e0478,14047,759,205,128,2,271,3448,631,96,39,0,202,171,620,18,2,0,87,2986,720,198,127,1,180,33,756,221,143,1,96
cd68eb8dca18760d77d010569aab938c766e19c2,30099,1517,15754,2182,27,941,7109,1402,15854,15065,39,485,36,1244,0,1,0,68,4430,1381,23153,1063,19,906,2824,1475,5104,9306,35,611
6bcf7fcc3a382df20e75cc8de26a173fe6638ffa,14050,751,214,147,1,264,7096,718,163,136,0,230,399,612,21,1,0,92,586,730,228,126,1,158,39,752,216,113,0,96
f8d9f00c7bb21541d0986666be4b74d47a85f9f6,13188,1471,31422,908,29,1171,6884,1563,27059,31385,43,280,329,1302,172,101,0,121,857,1420,12609,910,35,925,2942,1407,5569,8231,24,622
4f91dd1bb29f23e20233e4a95ad00feb575259d6,25634,1521,13493,1732,52,1137,7028,1471,51917,4427,46,273,234,1190,19,2,0,80,528,1433,13125,920,42,900,3109,1490,4493,9046,41,603
86016c7dfc776f582b001c9b34d26f332128db8b,14344,1227,23516,847,57,881,6850,1283,14573,15136,25,720,363,1042,195,105,0,101,5887,1189,2766,3305,54,773,6335,1249,4974,3194,41,607
638c1ddf47aa4e7acdfc2cc537666c93f8dead1c,13811,1237,22229,922,28,861,6870,1177,13854,15534,36,742,315,1038,19,10,0,79,7403,1225,3256,3077,40,839,2633,1197,9737,4243,32,575
427b91e5708f78fdb018c00b2148e95a3c4aa008,13225,1195,22024,772,53,859,7338,1135,19014,7625,41,724,329,1000,19,7,0,81,7683,1388,5892,1075,44,748,601,1266,5333,10499,28,602
ac1e3a43da2469c62dce19e8111b011756f1f08c,13868,1205,23183,872,44,868,8460,1186,13976,10254,45,618,213,994,21,1,0,73,14724,1299,4096,3564,34,1084,2504,1265,8295,3642,39,616
62c060ad12fdd998ec0aaef20867bdc1647c35d0,16908,1278,17328,915,41,814,16437,1214,19491,1341,48,694,15940,1267,17605,1105,54,935,15672,1269,21951,1013,57,649,122,1251,12206,1266,76,713
2c93dbab98c656732261bbaa77a35f85241df693,21707,1305,19438,1393,55,718,9809,1316,38084,15001,56,1362,219,1043,20,2,0,66,3377,1310,6909,1645,79,881,76,1290,7561,1215,72,633
49d5b5932631a9d640b9dda67f7d1c03ae6c9a58,16400,1391,20611,960,48,1358,10180,1389,47854,5259,46,1382,224,1040,31,1,0,85,2922,1234,7163,1415,41,862,1475,1240,12224,2741,45,667
27b7842bf5ba2847b350421d1ac555988a402e97,16882,480,58,7,2,218,9919,456,45,17,3,200,327,382,23,0,0,75,353,505,55,5,1,108,12,466,50,10,0,61
15954a0aa18244e151963a0fcd5274d5849929a5,15839,454,64,9,0,231,10129,422,54,12,1,177,468,379,22,2,0,63,370,518,57,5,1,114,15,468,57,12,2,59
