mop,ps1c,ps3cl,online,jarThreads,incrementalJar,incrementalJarThreads,cleanBytecode,cleanBytecodeThreads,storeHashes,storeHashesThreads,staticCIA,staticCIAThreads,dynamicCIA,dynamicCIAThreads,mopCache,mopCacheShared
0,0,2,0,2,2,2,0,2,4,5,3,22,1,9,12,0
0,0,0,3,3,1,1,2,9,6,4,17,12,5,2,1,0
0,0,1,0,8,2,1,6,8,2,9,12,7,1,4,5,0
0,0,0,1,8,1,3,7,6,4,5,7,7,4,7,6,0
0,0,1,0,13,0,6,8,7,5,2,2,4,8,8,2,0
0,1,4,5,6,3,6,6,7,6,5,3,4,7,1,1,1
0,1,5,0,6,3,6,3,9,9,11,4,1,3,2,3,0
0,2,2,7,9,9,4,8,5,3,11,1,0,1,2,1,1
0,0,1,2,5,11,9,7,5,5,8,8,1,1,1,2,0
0,3,1,5,1,4,14,8,5,4,3,6,5,3,1,3,0
0,0,5,8,3,6,7,4,0,10,0,3,2,4,5,6,3
0,1,7,7,1,15,2,2,1,5,2,0,1,10,9,1,2
1,1,12,12,0,3,3,4,1,3,1,0,0,13,7,1,4
2,8,21,7,0,4,2,0,0,0,0,0,0,4,6,1,11
3,20,4,3,0,1,0,1,1,0,0,0,0,0,2,2,29
21,29,0,2,1,1,0,0,0,0,0,0,0,1,0,0,11
39,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
