sha,offline time,online time,instr all time,instr project time
beeb27a36456d4d429d956d76e1fb350a2019ad1,6041,70503,67299,2837
f8df20505ade99683212e42e987f7e0a28bc0200,6539,70781,68388,4146
4f6989e82fb9fc50d4bd727ca7948bb7851a2678,3531
5903a28e812c36390b3144b637fcec2bb3126778,3486,3487,1460,1459
b31ca8aa878471ad919c0ca607dd7a70011e5731,2925
87330e5cdc4520387b61db3f65679412bac3b5ef,2941,9383,7332,890
3fee261b6a6fd9ba9ff7c464e6dbf863ef270db7,4085,68146,65895,1834
b8eafad60ea20c63db9bbf4221b3a4269fc34802,3506,45970,43743,1279
9f551be208273104ccfc8412ebd82bfcef64ebc6,3138,4035,1777,880
e2749b8beaf085d6572b5b6c24372317a9afd39c,3373
c206d4a6a72cfe993d01890b04735fd1f0249312,3524,6014,3789,1299
5bf18b8a47ceb9ba4121c775a48549acbad5f3bd,3114
81d0f1db27cf2ede0f8b360eb5be4ea23729051f,3171
e60425970a7a6338b017995180401c2430f67a74,3317,22624,20363,1056
f70faa4dd79cab5df8392a53ee82497942269f6a,5036,69861,67278,2453
8e35796ac2a9f4b0476cd97348d7ae44b3046fc4,39538,56638,19008,1908
