sha,offline time,online time,instr all time,instr project time
8045d9459af361c9560931dfb5523f9fb00b6990,15262,270422,264419,9259
930c6819bb1e419cf0ecf00582abf2553e131aac,7360
d4d887825ce4380123f50f0545abe1d26852a7e4,11692,62450,57250,6492
5d4868051c4f8d6a8f2f5bbbdd3c764c815b0b6f,7041,12347,7085,1779
ec156b31a3861a0d60c8a9d9bcebfc9a4f5f986d,6473,101850,96614,1237
491e8bea19dcfd588158b31c3ef9bbf00b7d3d55,7199,368206,363025,2018
269699bd434e41988eec3dd3ad8856be8059a00a,8207,370858,365535,2884
3860ffaa7dca47a9be908d96cfbdca676cd08b79,10177,262749,257529,4957
5a0a54c1309690a5324350f470fa22ebb6611b9e,6618,15239,10026,1405
ec48f1a0c93f0d06ffbf7dbbc0b0c1484b10bd4d,6929,22177,16761,1513
80ac5c3277b3f4859d70549f953d42fa23114ccd,7953,266869,261417,2501
554e87b30c38c57cc391d73fdd7dbbbae37aaf67,6645,146102,140616,1159
71bb14207ebdae703d6e5cbfa1f55b20bb353910,8504,352815,347503,3192
15bc458c8a956c9719a9c34d74d49503ce1e0fe6,7058
f849afeedc714d79bf86b8aa74b8683a55942eff,8409,337444,331361,2326
73d5dcbf018e20674e1b56c70e79dd3dfd5b4dbd,8424,346836,340539,2127
c499c395cef38f9bb4b52d157bc336bff0644b94,9411,390231,384162,3342
7290786e82db354f1d310c599f84150a7ec0ef8b,10564,370496,364362,4430
0882294f8a6100fe81b73a714357477c12172f87,8318
